Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Ramzi Abid\abidra01,26,NSH,LW,13,1,4,5,-3,13,0.2,1,0,0,0,4,0,0,12,8.3,141,10:51
2,Craig Adams\adamscr01,29,CAR,RW,82,7,7,14,-9,54,0.4,6,0,1,1,6,0,1,71,9.9,826,10:04
3,Kevyn Adams\adamske01,32,TOT,C,68,3,9,12,-20,25,-0.6,2,0,1,0,7,1,1,87,3.4,742,10:55
4,Dmitry Afanasenkov\afanadm01,26,TOT,LW,74,11,10,21,-25,20,1.0,11,0,0,0,10,0,0,96,11.5,779,10:31
5,Maxim Afinogenov\afinoma01,27,BUF,RW,56,23,38,61,19,66,7.1,16,7,0,3,25,13,0,151,15.2,955,17:03
6,Andrew Alberts\alberan01,25,BOS,D,76,0,10,10,-15,124,1.5,0,0,0,0,9,1,0,41,0.0,1495,19:40
7,Nikita Alexeev\alexeni01,25,TOT,RW,78,12,11,23,7,12,2.0,10,2,0,2,9,2,0,117,10.3,1075,13:47
8,Daniel Alfredsson\alfreda01,34,OTT,RW,77,29,58,87,42,42,10.0,20,7,2,7,38,18,2,240,12.1,1661,21:35
9,Bobby Allen\allenbo01,28,BOS,D,31,0,3,3,-1,10,0.7,0,0,0,0,2,0,1,14,0.0,404,13:02
10,Bryan Allen\allenbr01,26,FLA,D,82,4,21,25,7,112,4.7,4,0,0,0,18,2,1,99,4.0,1771,21:36
11,Tony Amonte\amontto01,36,CGY,RW,81,10,20,30,-4,40,1.7,8,1,1,1,17,2,1,139,7.2,1146,14:09
12,Nik Antropov\antroni01,26,TOR,C,54,18,15,33,8,44,3.7,14,4,0,4,14,1,0,125,14.4,896,16:36
13,Denis Arkhipov\arkhide01,27,CHI,C,79,10,17,27,-13,54,1.2,7,2,1,1,9,4,4,112,8.9,1241,15:43
14,Colby Armstrong\armstco01,24,PIT,RW,80,12,22,34,2,67,2.2,10,1,1,3,17,3,2,145,8.3,1346,16:50
15,Derek Armstrong\armstde01,33,LAK,C,67,11,33,44,13,62,4.3,8,3,0,0,27,6,0,109,10.1,1009,15:04
16,Tyler Arnason\arnasty01,27,COL,C,82,16,33,49,-8,26,4.1,15,1,0,3,22,11,0,211,7.6,1176,14:20
17,Jason Arnott\arnotja01,32,NSH,C,68,27,27,54,15,48,6.5,15,12,0,6,19,8,0,190,14.2,1223,17:59
