Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,31,MTL,35,35,9,20,4,107,1123,1016,.905,3.30,2,5.9,1948,18,.514,8,102,-2.56,0,0,0,2
2,Hugo Alnefelt\alnefhu01,20,TBL,1,0,0,0,0,3,10,7,.700,9.00,0,-0.2,20,0,,0,,,0,0,0,0
3,Frederik Andersen\anderfr01,32,CAR,52,51,35,14,3,111,1431,1320,.922,2.17,4,10.1,3071,30,.588,5,83,22.08,0,4,4,0
4,Craig Anderson\andercr01,40,BUF,31,31,17,12,2,97,945,848,.897,3.12,0,4.3,1867,14,.452,7,110,-9.12,0,1,1,0
5,Justus Annunen\annunju01,21,COL,2,1,1,0,1,7,51,44,.863,4.34,0,0.1,97,0,.000,1,,,0,1,1,0
6,Jonathan Bernier\bernijo01,33,NJD,10,8,4,4,1,26,264,238,.902,3.06,0,1.3,510,3,.375,1,,,0,0,0,0
7,Jean-Francois Berube\berubje02,30,CBJ,6,6,3,2,0,21,209,188,.900,4.12,0,1.0,306,4,.667,2,,,0,1,1,0
8,Jordan Binnington\binnijo01,28,STL,37,37,18,14,4,112,1135,1023,.901,3.13,2,5.6,2145,16,.432,7,106,-6.45,0,0,0,14
9,Mackenzie Blackwood\blackma01,25,NJD,25,24,9,10,4,79,731,652,.892,3.39,2,2.9,1399,9,.375,2,116,-11.02,0,0,0,0
10,Sergei Bobrovsky\bobrose01,33,FLA,54,53,39,7,3,137,1566,1429,.913,2.67,3,9.4,3082,33,.623,6,94,8.64,0,0,0,4
11,Laurent Brossoit\brossla01,28,VEG,24,21,10,9,3,62,588,526,.895,2.90,1,2.5,1281,10,.476,4,113,-7.32,0,0,0,0
12,Jack Campbell\campbja01,30,TOR,49,47,31,9,6,123,1430,1307,.914,2.64,5,8.8,2795,28,.596,10,92,9.99,0,1,1,0
13,Eric Comrie\comrier01,26,WPG,19,16,10,5,1,44,550,506,.920,2.58,1,3.7,1025,10,.625,1,86,7.15,0,1,1,0
14,Pheonix Copley\copleph01,30,WSH,2,1,0,1,0,5,41,36,.878,3.11,0,0.1,97,0,.000,1,,,0,0,0,0
15,Joey Daccord\daccojo01,25,SEA,5,4,0,4,0,21,140,119,.850,4.30,0,0.0,293,0,.000,3,,,0,0,0,0
16,Nico Daws\dawsni01,21,NJD,25,23,10,11,1,66,617,551,.893,3.11,0,2.5,1272,7,.304,7,115,-8.62,0,0,0,0
17,Collin Delia\deliaco01,27,CHI,8,6,1,4,1,22,218,196,.899,3.85,0,1.0,343,3,.500,1,,,0,0,0,0
18,Aaron Dell\dellaa01,32,BUF,12,9,1,8,1,38,354,316,.893,4.03,0,1.4,565,2,.222,2,115,-5.08,0,0,0,2
19,Thatcher Demko\demkoth01,26,VAN,64,61,33,22,7,168,1967,1799,.915,2.72,1,12.3,3701,35,.574,7,92,14.93,0,2,2,2
20,Casey DeSmith\desmica01,30,PIT,26,24,11,6,5,66,769,703,.914,2.79,3,4.8,1418,12,.500,4,92,5.52,0,0,0,0
21,Michael Dipietro\dipiemi01,22,VAN,1,1,0,1,0,3,17,14,.824,3.14,0,-0.1,57,0,.000,1,,,0,0,0,0
22,Louis Domingue\dominlo01,29,PIT,2,2,1,1,0,4,83,79,.952,2.02,0,0.8,119,2,1.000,0,,,0,0,0,0
23,Lukas Dostal\dostalu01,21,ANA,4,3,1,2,0,10,108,98,.907,2.98,0,0.6,201,2,.667,1,,,0,0,0,0
24,Chris Driedger\driedch01,27,SEA,27,24,9,14,1,73,722,649,.899,2.96,1,3.4,1478,9,.375,3,109,-5.85,0,0,0,4
