,Player,Unique ID
0,Justin Abdelkader\abdelju01,1
1,Pontus Aberg\abergpo01,2
2,Noel Acciari\acciano01,3
3,Sebastian Aho\ahose01,4
4,Karl Alzner\alzneka01,5
5,Josh Anderson\anderjo05,6
6,Andy Andreoff\andrean01,7
7,Sven Andrighetto\andrisv01,8
8,Artem Anisimov\anisiar01,9
9,Josh Archibald\archijo01,10
10,Joel Armia\armiajo01,11
11,Viktor Arvidsson\arvidvi01,12
12,Andreas Athanasiou\athanan01,13
13,Cam Atkinson\atkinca01,14
14,Yohann Auvitu\auvityo01,15
15,David Backes\backeda01,16
16,Mikael Backlund\backlmi01,17
17,Nicklas Backstrom\backsni02,18
18,Sven Baertschi\baertsv01,19
19,Josh Bailey\bailejo01,20
20,Justin Bailey\baileju01,21
21,Nicholas Baptiste\baptini01,22
22,Ivan Barbashev\barbaiv01,23
23,Mark Barberio\barbema01,24
24,Aleksander Barkov\barkoal01,25
25,Tyson Barrie\barrity01,26
26,Matt Bartkowski\bartkma01,27
27,Jay Beagle\beaglja01,28
28,Francois Beauchemin\beaucfr01,29
29,Nathan Beaulieu\beaulna01,30
30,Anthony Beauvillier\beauvan01,31
31,Matt Beleskey\belesma01,32
32,Pierre-Edouard Bellemare\bellepi01,33
33,Jamie Benn\bennja01,34
34,Jordie Benn\bennjo01,35
35,Beau Bennett\bennebe01,36
36,Sam Bennett\bennesa01,37
37,Matt Benning\bennima01,38
38,Patrice Bergeron\bergepa01,39
39,Patrik Berglund\berglpa01,40
40,Bryan Bickell\bickebr01,41
41,Alex Biega\biegaal01,42
42,Kevin Bieksa\biekske01,43
43,Anthony Bitetto\bitetan01,44
44,Oliver Bjorkstrand\bjorkol01,45
45,Nick Bjugstad\bjugsni01,46
46,Joseph Blandisi\blandjo01,47
47,Anton Blidh\blidhan01,48
48,Mikkel Boedker\boedkmi01,49
49,Zach Bogosian\bogosza01,50
50,Jared Boll\bollja01,51
51,Nick Bonino\boninni01,52
52,Mark Borowiecki\borowma01,53
53,Robert Bortuzzo\borturo01,54
54,Reid Boucher\bouchre01,55
55,Lance Bouma\boumala01,56
56,Michael Bournival\bournmi01,57
57,Rene Bourque\bourqre01,58
58,Jay Bouwmeester\bouwmja01,59
59,Johnny Boychuk\boychjo01,60
60,Brian Boyle\boylebr01,61
61,Tyler Bozak\bozakty01,62
62,Derick Brassard\brassde01,63
63,Justin Braun\braunju01,64
64,T.J. Brodie\broditj01,65
65,Jonas Brodin\brodijo01,66
66,Kyle Brodziak\brodzky01,67
67,Troy Brouwer\brouwtr01,68
68,Connor Brown\brownco02,69
69,Dustin Brown\browndu01,70
70,J.T. Brown\brownjt01,71
71,Patrick Brown\brownpa02,72
72,Pavel Buchnevich\buchnpa01,73
73,Andre Burakovsky\burakan01,74
74,Alexander Burmistrov\burmial01,75
75,Brent Burns\burnsbr01,76
76,Alexandre Burrows\burroal01,77
77,Dustin Byfuglien\byfugdu01,78
78,Paul Byron\byronpa01,79
79,Drake Caggiula\caggidr01,80
80,Ryan Callahan\callary01,81
81,Matt Calvert\calvema01,82
82,Mike Cammalleri\cammami01,83
83,Brian Campbell\campbbr02,84
84,Brandon Carlo\carlobr01,85
85,John Carlson\carlsjo01,86
86,Ryan Carpenter\carpery01,87
87,Daniel Carr\carrda01,88
88,Connor Carrick\carrico01,89
89,William Carrier\carriwi01,90
90,Jeff Carter\carteje01,91
91,Cody Ceci\cecico01,92
92,Peter Cehlarik\cehlape01,93
93,Michael Chaput\chapumi01,94
94,Zdeno Chara\charazd01,95
95,Ben Chiarot\chiarbe01,96
96,Alex Chiasson\chiasal01,97
97,Jason Chimera\chimeja01,98
98,Taylor Chorney\chornta01,99
